CUSTOMER_NO,LOYALTY PROGRAM,AGE,CUSTOMER_TYPE,GENDER
53799891,1,3,1,1
53799987,1,2,2,0
53801874,1,2,1,0
53805225,0,2,1,0
53813247,0,2,2,0
53814246,0,2,3,1
53816829,0,4,1,1
53817900,0,2,2,1
53818023,0,2,3,0
53822286,0,2,2,0
53825553,1,2,1,1
53832801,1,3,3,0
53835297,0,2,2,0
53836488,1,3,1,0
53836827,0,2,2,0
53837211,1,3,2,1
53837421,0,2,2,0
53839803,0,3,2,0
53841975,1,2,1,0
53844153,0,2,1,1
53844981,0,4,4,1
53846328,0,2,2,0
53846487,1,2,2,0
53848659,1,4,1,1
53849862,0,3,2,0
53851230,1,3,4,0
53851770,0,2,3,0
53855187,1,2,1,1
53857188,0,2,4,1
53857989,1,2,2,1
53860788,0,1,2,0
53871105,0,2,2,0
53871444,1,2,2,1
53878659,1,4,1,0
53879883,1,1,3,0
53880147,0,3,2,1
53880873,0,3,1,0
53881755,0,4,1,1
53882439,0,3,1,1
53883843,1,3,2,0
53884074,0,3,1,1
53884359,0,2,2,1
53890134,0,2,2,0
53890722,1,4,2,1
53892279,1,2,2,0
53894076,0,4,1,0
53896719,0,3,1,0
53897985,0,3,1,0
53899071,0,3,1,1
53899599,1,3,1,1
53899968,1,3,2,0
53900571,0,3,2,0
53901510,1,3,1,0
53902698,0,3,3,0
53903553,0,4,1,0
53905794,1,3,2,0
53905962,1,3,1,1
53906859,0,3,3,0
53908047,0,3,1,1
53908155,1,3,1,0
53909568,0,4,1,0
53910072,0,2,1,1
53911437,1,4,1,1
53911461,0,2,2,1
53914869,1,2,2,0
53916762,0,3,1,1
53916852,1,3,2,1
53917059,1,3,3,0
53918706,1,4,1,0
53918916,1,3,1,1
53921394,1,3,1,0
53923947,0,3,1,0
53924544,1,3,1,0
53924568,0,3,1,0
53924889,1,3,1,0
53925543,0,2,2,1
53928120,0,3,2,0
53931072,1,3,3,1
53931750,0,3,2,0
53933967,0,2,2,1
53936175,1,2,2,1
53938056,0,2,1,0
53938194,0,2,2,0
53939148,1,4,2,0
53939799,1,4,1,0
53942280,0,3,2,0
53943747,0,3,1,0
53946555,0,4,1,1
53953299,1,3,1,0
53956938,0,2,3,1
53958015,0,3,2,0
53961537,0,2,1,1
53964339,0,3,3,1
53969994,1,3,1,0
53970171,1,3,3,0
53971647,0,4,1,0
53975109,0,3,1,1
53979279,0,3,4,0
53980479,1,3,2,0
53984319,1,4,1,1
53984409,1,3,1,0
53987172,0,2,2,1
53987601,0,3,3,0
53996706,0,3,1,0
54010674,0,4,1,0
54010794,1,4,1,0
54015138,0,3,3,0
54017154,0,3,3,0
54018864,0,3,2,1
54025797,0,2,1,0
54028281,0,3,2,0
54028809,0,3,1,0
54033885,0,2,3,0
54035697,0,3,1,0
54041706,1,2,2,0
54043935,0,3,1,0
54045687,0,2,2,0
54047256,0,4,1,0
54049899,0,3,3,0
54056013,0,2,2,1
54056565,1,3,2,0
54062466,0,2,1,1
54064017,0,3,1,0
54067167,1,3,1,0
54067833,0,3,2,1
54067929,0,3,1,0
54068841,1,2,3,0
54073386,0,2,2,0
54073602,0,2,3,1
54075375,1,3,1,0
54077379,1,3,1,0
54078042,1,3,1,0
54079488,0,3,2,0
54082101,1,3,1,0
54084210,0,2,2,0
54089925,1,3,1,0
54096759,0,3,2,0
54097404,0,3,1,0
54101073,0,3,1,1
