ORDER_NO,CUSTOMER_NUMBER_ONLINE,ORDER_VALUE_ONLINE,DISCOUNT_VALUE_ONLINE,NUMBER_ITEMS_ONLINE,NUMBER_DISCOUNTED_ITEMS_ONLINE
10000173,76270296,"27527,03","1767,19",178,16
10001815,59942241,"14645,8","4161,87",112,46
10008823,61224717,"25698,27","5508,55",188,12
10010637,68073831,"15062,38","5034,33",106,28
10017775,58203213,"27127,48","5845,22",146,26
10020554,89381304,15589,"2247,96",102,16
10027378,77707740,"9007,56","1754,09",74,20
10033476,54814725,"6805,45",0,50,0
10040189,61421319,"13287,33","2192,94",88,12
10046433,62686989,"22606,67","4097,68",140,20
10065537,75898755,"18463,14","3933,93",152,28
10079140,63914061,"19357,87","3247,49",146,28
10092199,60029526,"28353,64","2737,9",138,8
10105156,84559041,"17400,73","5967,05",78,24
10111100,75214362,"35165,64","2342,28",200,30
10168820,53844486,"30426,06","637,97",198,24
10181649,62317410,"12957,21","1046,69",58,14
10184694,86693328,"8005,41",0,36,0
10210343,54479883,"30033,06","1489,47",214,16
10220808,67978983,"16655,34","1169,83",84,8
10276044,61547934,"16699,88","577,71",82,4
10285403,59055831,"18337,38","1776,36",130,20
10291485,65325285,"17085,02","1164,59",168,20
10301017,57142473,"10464,28","1180,31",78,18
10302220,56264988,"11366,87","5473,18",90,48
10311744,60071169,"9756,88","522,69",56,12
10313982,85608531,"31546,11","1784,22",102,24
10318647,77351148,"16068,46","336,67",90,0
10324298,67411221,7074,"1723,96",48,8
10327083,61792995,"20168,76","4354,44",190,64
10331473,59034225,"28327,44","3738,74",212,50
10346128,86037099,"13528,37","1088,61",78,20
10350707,59676360,"14163,72","2764,1",150,52
10365460,61044000,"16855,77","1196,03",108,0
10368455,87756642,"24272,99","1355,85",152,14
10375274,85659042,"12113,57","503,04",80,8
10377389,86900328,"50679,97","8107,59",358,172
10387381,86534649,5109,0,2,0
10388045,66655149,"29250,99","7364,82",198,56
10394265,86641896,"27599,08","3028,72",196,28
10395099,60772269,"10924,09","1708,24",80,30
10417995,55498275,"14216,12","634,04",116,12
10421287,56638128,"18759,2","2473,28",150,18
10423842,84818364,"20331,2","614,39",136,4
10434291,64582365,"9624,57","783,38",98,4
10449106,66691416,"19829,47","2524,37",194,20
10465581,84221460,"8862,15",131,62,6
10497921,87469521,"20492,33","2965,84",82,36
10503976,62227878,"7318,97","1856,27",62,12
10545654,64003806,"9539,42","1951,9",68,12
10546682,56413062,"11077,36","1718,72",68,12
10551135,74738094,"12851,1","677,27",90,8
10559890,60301146,"17728,23","741,46",96,0
10562907,59286849,"30906,83","5596,32",176,64
10569113,74757108,"20729,44","222,7",174,4
10575327,89032245,"17988,92","1340,13",176,20
10584827,55655007,"17309,03","1813,04",114,20
10585143,56334120,"23045,52","1752,78",170,12
10596756,68028636,"21671,33","2179,84",182,24
10603006,61793031,"17145,28","4903,33",80,16
10603659,54361611,"12520,98","894,73",80,4
10638433,55488234,"24651,58",3406,224,32
10672943,63791973,"12566,83","678,58",100,0
10674369,76506594,"9738,54","509,59",50,4
10677437,78332682,"20062,65","2756,24",144,36
10693688,84110052,"19891,04","1084,68",144,16
